Race.Ethnicity,Age,stage_prostate,Rate.per.100.000,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Count,Population
NH White,30-34,Distant,0,0,0,0,0,7623062
NH White,30-34,All,0,0,0,0,0,7623062
NH White,35-39,Distant,0,0,0,0,0,7244000
NH White,35-39,All,0.5,0.1,0.3,0.7,35,7244000
NH White,40-44,Distant,0.4,0.1,0.2,0.5,25,7020886
NH White,40-44,All,5.9,0.3,5.3,6.5,413,7020886
NH White,45-49,Distant,1.6,0.1,1.3,1.9,122,7839753
NH White,45-49,All,27.5,0.6,26.4,28.7,2156,7839753
NH White,50-54,Distant,4.7,0.2,4.2,5.2,405,8641416
NH White,50-54,All,105.9,1.1,103.7,108.1,9149,8641416
NH White,55-59,Distant,10,0.3,9.3,10.7,903,9038355
NH White,55-59,All,228.5,1.6,225.4,231.6,20649,9038355
NH White,60-64,Distant,19.1,0.5,18.1,20,1560,8180193
NH White,60-64,All,391.4,2.2,387.2,395.7,32020,8180193
NH White,65-69,Distant,29.8,0.7,28.6,31.2,2067,6927476
NH White,65-69,All,607,3,601.2,612.8,42050,6927476
NH White,70-74,Distant,40.4,0.9,38.7,42.2,2049,5073732
NH White,70-74,All,631.7,3.5,624.8,638.7,32051,5073732
NH White,75-79,Distant,58.1,1.3,55.6,60.8,1966,3382461
NH White,75-79,All,565.9,4.1,557.9,573.9,19140,3382461
NH White,80-84,Distant,84.7,1.9,81,88.6,1905,2248695
NH White,80-84,All,443.3,4.4,434.7,452.1,9969,2248695
NH White,85+,Distant,116,2.3,111.5,120.6,2503,2157701
NH White,85+,All,371,4.1,362.9,379.2,8005,2157701
NH Black,30-34,Distant,0,0,0,0,0,1807994
NH Black,30-34,All,0,0,0,0,0,1807994
NH Black,35-39,Distant,0,0,0,0,0,1669696
NH Black,35-39,All,1,0.2,0.6,1.6,17,1669696
NH Black,40-44,Distant,0,0,0,0,0,1572873
NH Black,40-44,All,17.2,1,15.2,19.3,270,1572873
NH Black,45-49,Distant,4.4,0.5,3.4,5.5,71,1630954
NH Black,45-49,All,80.9,2.2,76.6,85.4,1319,1630954
NH Black,50-54,Distant,12.2,0.9,10.6,14,203,1661824
NH Black,50-54,All,237.5,3.8,230.2,245,3947,1661824
NH Black,55-59,Distant,26.6,1.3,24.1,29.3,417,1565401
NH Black,55-59,All,459.8,5.4,449.3,470.6,7198,1565401
NH Black,60-64,Distant,55,2.1,50.9,59.2,686,1247904
NH Black,60-64,All,725.7,7.6,710.8,740.8,9056,1247904
NH Black,65-69,Distant,69,2.7,63.7,74.6,631,914794
NH Black,65-69,All,1032,10.6,1011.3,1053.1,9441,914794
NH Black,70-74,Distant,89,3.9,81.5,97,523,587614
NH Black,70-74,All,927.5,12.6,903,952.4,5450,587614
NH Black,75-79,Distant,102.9,5.2,92.9,113.6,389,378065
NH Black,75-79,All,780,14.4,752.1,808.7,2949,378065
NH Black,80-84,Distant,115.8,7.1,102.3,130.7,265,228774
NH Black,80-84,All,552.5,15.5,522.5,583.8,1264,228774
NH Black,85+,Distant,152.6,9.3,135,171.9,271,177609
NH Black,85+,All,476.9,16.4,445.3,510.1,847,177609
Hispanic,30-34,Distant,0,0,0,0,0,4045099
Hispanic,30-34,All,0,0,0,0,0,4045099
Hispanic,35-39,Distant,0,0,0,0,0,3786762
Hispanic,35-39,All,0,0,0,0,0,3786762
Hispanic,40-44,Distant,0.3,0.1,0.1,0.5,10,3463915
Hispanic,40-44,All,2.8,0.3,2.2,3.4,96,3463915
Hispanic,45-49,Distant,1.4,0.2,1,1.9,45,3192756
Hispanic,45-49,All,14.6,0.7,13.3,16,466,3192756
Hispanic,50-54,Distant,4.5,0.4,3.7,5.3,123,2754103
Hispanic,50-54,All,61.4,1.5,58.5,64.4,1691,2754103
Hispanic,55-59,Distant,10.6,0.7,9.3,12.1,235,2212845
Hispanic,55-59,All,154.8,2.6,149.7,160.1,3426,2212845
Hispanic,60-64,Distant,21.1,1.1,18.9,23.4,343,1627024
Hispanic,60-64,All,279.2,4.1,271.1,287.4,4542,1627024
Hispanic,65-69,Distant,32.1,1.7,28.9,35.6,365,1136409
Hispanic,65-69,All,479.8,6.5,467.1,492.7,5452,1136409
Hispanic,70-74,Distant,42.5,2.4,37.9,47.4,313,737028
Hispanic,70-74,All,481.7,8.1,465.9,497.8,3550,737028
Hispanic,75-79,Distant,70,3.8,62.8,77.9,342,488361
Hispanic,75-79,All,481.4,9.9,462.1,501.3,2351,488361
Hispanic,80-84,Distant,74.5,4.8,65.4,84.6,240,322103
Hispanic,80-84,All,379.7,10.9,358.7,401.6,1223,322103
Hispanic,85+,Distant,85,5.5,74.5,96.5,238,280068
Hispanic,85+,All,319.6,10.7,299,341.2,895,280068
AIAN,30-34,Distant,0,0,0,0,0,307923
AIAN,30-34,All,0,0,0,0,0,307923
AIAN,35-39,Distant,0,0,0,0,0,276401
AIAN,35-39,All,0,0,0,0,0,276401
AIAN,40-44,Distant,0,0,0,0,0,245607
AIAN,40-44,All,0,0,0,0,0,245607
AIAN,45-49,Distant,0,0,0,0,0,236274
AIAN,45-49,All,6.8,1.7,3.9,11,16,236274
AIAN,50-54,Distant,0,0,0,0,0,227479
AIAN,50-54,All,33.4,3.8,26.3,41.8,76,227479
AIAN,55-59,Distant,7.9,2,4.5,12.8,16,202207
AIAN,55-59,All,67.8,5.8,56.9,80.1,137,202207
AIAN,60-64,Distant,13.5,2.9,8.3,20.6,21,156023
AIAN,60-64,All,142.3,9.5,124.2,162.3,222,156023
AIAN,65-69,Distant,28.6,5.1,19.6,40.4,32,111805
AIAN,65-69,All,232.5,14.4,205.1,262.6,260,111805
AIAN,70-74,Distant,35.3,7.1,22.9,52.1,25,70790
AIAN,70-74,All,226,17.9,192.4,263.9,160,70790
AIAN,75-79,Distant,45.9,10.3,28,70.9,20,43558
AIAN,75-79,All,236.5,23.3,193,286.8,103,43558
AIAN,80-84,Distant,56.4,15.1,30.8,94.6,14,24830
AIAN,80-84,All,314.1,35.6,248.3,392.1,78,24830
AIAN,85+,Distant,61.7,17.8,31.9,107.8,12,19444
AIAN,85+,All,205.7,32.5,147,280.1,40,19444
API,30-34,Distant,0,0,0,0,0,2023425
API,30-34,All,0,0,0,0,0,2023425
API,35-39,Distant,0,0,0,0,0,1874426
API,35-39,All,0,0,0,0,0,1874426
API,40-44,Distant,0,0,0,0,0,1798522
API,40-44,All,1.2,0.3,0.8,1.9,22,1798522
API,45-49,Distant,0.9,0.2,0.5,1.5,15,1679395
API,45-49,All,7.4,0.7,6.2,8.9,125,1679395
API,50-54,Distant,2,0.4,1.4,2.9,31,1541806
API,50-54,All,35.7,1.5,32.8,38.8,550,1541806
API,55-59,Distant,5.7,0.6,4.6,7.1,81,1409348
API,55-59,All,95,2.6,90,100.2,1339,1409348
API,60-64,Distant,12.9,1,10.9,15,155,1205998
API,60-64,All,188.2,4,180.6,196.1,2270,1205998
API,65-69,Distant,22.5,1.5,19.6,25.7,221,982102
API,65-69,All,343.2,5.9,331.8,355,3371,982102
API,70-74,Distant,29.3,2.1,25.4,33.7,202,688953
API,70-74,All,358.4,7.2,344.4,372.8,2469,688953
API,75-79,Distant,38,2.8,32.7,44,184,483598
API,75-79,All,372,8.8,355,389.6,1799,483598
API,80-84,Distant,64.7,4.5,56.2,74.2,205,316808
API,80-84,All,299.6,9.7,280.8,319.2,949,316808
API,85+,Distant,66.2,4.7,57.4,76.1,200,302051
API,85+,All,231.7,8.8,214.9,249.6,700,302051
All Races,30-34,Distant,0,0,0,0,0,15807503
All Races,30-34,All,0.1,0,0,0.1,11,15807503
All Races,35-39,Distant,0,0,0,0,0,14851285
All Races,35-39,All,0.4,0.1,0.3,0.6,64,14851285
All Races,40-44,Distant,0.3,0,0.2,0.4,46,14101803
All Races,40-44,All,5.7,0.2,5.3,6.1,803,14101803
All Races,45-49,Distant,1.7,0.1,1.5,2,255,14579132
All Races,45-49,All,28,0.4,27.1,28.9,4082,14579132
All Races,50-54,Distant,5.2,0.2,4.8,5.6,771,14826628
All Races,50-54,All,104,0.8,102.3,105.6,15413,14826628
All Races,55-59,Distant,11.4,0.3,10.9,12,1652,14428156
All Races,55-59,All,227,1.3,224.5,229.5,32749,14428156
All Races,60-64,Distant,22.3,0.4,21.4,23.1,2765,12417142
All Races,60-64,All,387.4,1.8,384,390.9,48110,12417142
All Races,65-69,Distant,32.9,0.6,31.8,34.1,3316,10072586
All Races,65-69,All,601.4,2.4,596.6,606.2,60574,10072586
All Races,70-74,Distant,43.5,0.8,42,45,3112,7158117
All Races,70-74,All,610.2,2.9,604.5,616,43680,7158117
All Races,75-79,Distant,60.7,1.1,58.6,63,2901,4776043
All Races,75-79,All,551.5,3.4,544.9,558.2,26342,4776043
All Races,80-84,Distant,83.7,1.6,80.5,87,2629,3141210
All Races,80-84,All,429.2,3.7,422,436.5,13483,3141210
All Races,85+,Distant,109.8,1.9,106,113.6,3224,2936873
All Races,85+,All,357.1,3.5,350.3,364,10487,2936873
