"quant.n","OR.at.each.level"
0.01,0.141171751622953
0.02,0.177574029251294
0.03,0.205396261309181
0.04,0.229163409800592
0.05,0.25051040116908
0.06,0.270239564252124
0.07,0.288812583212018
0.08,0.306523112479241
0.09,0.323571412306702
0.1,0.340101306888491
0.11,0.356220336035697
0.12,0.372011568226984
0.13,0.387540929039752
0.14,0.402861959777049
0.15,0.418019026003177
0.16,0.433049550562207
0.17,0.447985610383724
0.18,0.462855105552914
0.19,0.477682633170395
0.2,0.492490152770261
0.21,0.507297501596891
0.22,0.522122799822207
0.23,0.536982773830346
0.24,0.551893017675819
0.25,0.566868207331431
0.26,0.581922278516835
0.27,0.597068576189697
0.28,0.61231998183495
0.29,0.627689023270598
0.3,0.643187970644847
0.31,0.658828921522567
0.32,0.674623877375991
0.33,0.690584813353532
0.34,0.706723742865383
0.35,0.723052778268927
0.36,0.7395841887422
0.37,0.756330456285889
0.38,0.773304330683575
0.39,0.790518884168845
0.4,0.807987566490921
0.41,0.825724261033891
0.42,0.843743342625469
0.43,0.862059737667749
0.44,0.880688987233334
0.45,0.899647313795079
0.46,0.918951692296342
0.47,0.938619926321656
0.48,0.958670730196018
0.49,0.979123817926038
0.5,1
0.51,1.02132128918913
0.52,1.04311101664232
0.53,1.06539395974565
0.54,1.08819648343117
0.55,1.11154669687346
0.56,1.13547462781552
0.57,1.16001241712719
0.58,1.1851945366328
0.59,1.21105803376529
0.6,1.23764280723154
0.61,1.26499191863254
0.62,1.2931519459047
0.63,1.32217338557368
0.64,1.35211111219222
0.65,1.38302490503407
0.66,1.41498005422252
0.67,1.44804806109756
0.68,1.4823074509156
0.69,1.51784472012701
0.7,1.5547554457485
0.71,1.59314559109137
0.72,1.63313305080014
0.73,1.67484948945343
0.74,1.71844254278893
0.75,1.76407847021015
0.76,1.81194537341909
0.77,1.86225713139159
0.78,1.91525825024404
0.79,1.97122989341
0.8,2.03049745131957
0.81,2.09344014322431
0.82,2.16050333679571
0.83,2.23221455515825
0.84,2.30920456724121
0.85,2.39223561080782
0.86,2.48223982366918
0.87,2.58037261374637
0.88,2.688088450491
0.89,2.80725129600627
0.9,2.94030037446422
0.91,3.0905078816176
0.92,3.2623967305817
0.93,3.46245301668833
0.94,3.70042041315251
0.95,3.99185021992383
0.96,4.3636983795544
0.97,4.86863779129217
0.98,5.63145412770271
0.99,7.08357010877669
